Date,Open,High,Low,Close
23.06.2014,11163.40,11185.10,11093.90,11118.30
20.06.2014,11174.90,11215.80,11142.60,11155.10
19.06.2014,11192.40,11249.40,11158.80,11187.80
18.06.2014,11082.40,11130.80,11052.70,11112.30
17.06.2014,11031.10,11093.50,11013.00,11058.50
16.06.2014,11055.00,11099.20,10971.70,11008.20
13.06.2014,11079.00,11134.30,11010.00,11113.70
12.06.2014,11081.70,11137.30,11046.00,11088.50
11.06.2014,11134.40,11167.80,11045.20,11074.90
10.06.2014,11136.60,11177.60,11095.60,11153.50
09.06.2014,11089.80,11188.20,11057.70,11164.10
06.06.2014,10917.60,11085.10,10888.40,11064.30
05.06.2014,10761.00,10970.00,10714.20,10876.40
04.06.2014,10756.20,10775.10,10667.20,10755.60
03.06.2014,10838.30,10873.60,10744.30,10776.70
02.06.2014,10819.00,10877.40,10800.20,10827.40
30.05.2014,10708.10,10803.40,10697.80,10798.70
29.05.2014,10755.70,10770.30,10665.00,10734.80
28.05.2014,10701.50,10757.20,10672.20,10757.20
27.05.2014,10669.30,10744.80,10659.40,10714.20
26.05.2014,10593.80,10695.50,10576.30,10687.50
23.05.2014,10525.50,10576.50,10466.00,10558.90
22.05.2014,10552.10,10558.00,10474.90,10520.60
21.05.2014,10407.40,10547.50,10364.10,10531.40
20.05.2014,10418.40,10479.00,10401.60,10453.80
19.05.2014,10469.70,10526.00,10307.30,10425.50
16.05.2014,10354.10,10494.90,10282.40,10478.70
15.05.2014,10616.50,10665.10,10323.40,10365.00
14.05.2014,10602.80,10639.10,10521.60,10613.90
13.05.2014,10587.30,10600.90,10533.40,10587.20
12.05.2014,10512.40,10578.20,10478.20,10567.00
09.05.2014,10573.00,10592.60,10438.70,10487.20
08.05.2014,10448.90,10597.90,10412.50,10591.20
07.05.2014,10402.00,10494.50,10371.50,10413.80
06.05.2014,10504.90,10549.20,10414.80,10481.40
05.05.2014,10460.20,10502.70,10342.50,10477.00
02.05.2014,10453.60,10541.00,10441.30,10474.50
30.04.2014,10424.70,10500.40,10397.70,10459.00
29.04.2014,10348.50,10488.50,10342.60,10461.00
28.04.2014,10351.30,10391.30,10247.90,10320.90
25.04.2014,10398.50,10442.90,10281.00,10306.20
24.04.2014,10487.00,10531.10,10338.70,10462.00
23.04.2014,10439.30,10482.50,10394.90,10424.40
22.04.2014,10339.10,10449.00,10279.70,10437.80
17.04.2014,10290.60,10316.20,10184.90,10292.40
16.04.2014,10210.60,10267.90,10179.40,10267.90
15.04.2014,10199.80,10247.80,10071.60,10103.50
14.04.2014,10097.70,10191.30,9984.30,10188.20
11.04.2014,10272.30,10332.10,10091.10,10205.40
10.04.2014,10523.70,10536.60,10326.40,10336.10
09.04.2014,10493.40,10571.50,10477.20,10485.20
08.04.2014,10611.40,10626.60,10384.10,10480.50
07.04.2014,10594.10,10678.20,10561.30,10606.20
04.04.2014,10612.50,10705.10,10572.30,10677.20
03.04.2014,10462.20,10644.40,10451.50,10584.10
02.04.2014,10477.80,10503.70,10391.30,10435.80
01.04.2014,10368.10,10487.60,10359.50,10463.10
31.03.2014,10349.60,10420.60,10325.90,10340.50
28.03.2014,10239.80,10341.90,10208.80,10328.90
27.03.2014,10118.20,10204.40,10087.10,10199.00
